매장명,매장주소
본도시락 부산개금점,"부산광역시 부산진구 복지로 70 (개금동, 개금현대I아파트) 221동 101호"
본도시락 부산부민점,부산광역시 서구 구덕로214번길 9
본죽 부산남포점,부산광역시 중구 비프광장로 39 (남포동5가)
본죽 부산구남점,부산광역시 북구 백양대로 1028 (구포동) 거림맥스랜드빌딩 104호
본도시락 부산법조타운점,"부산광역시 연제구 법원로32번길 10 (거제동, 협성프라자빌딩) 1층 104호"
본도시락 부산화명점,"부산광역시 북구 화명대로 68 (화명동, 이편한세상화명힐스) 208호"
본죽 해운대센텀점,"부산광역시 해운대구 센텀동로 123, 상가동 5호(재송동,더샵센텀스타)"
본도시락 부산영도점,부산광역시 영도구 남항로9번길 34 (남항동1가)
본도시락 부산덕천점,부산광역시 북구 백양대로 1191 (구포동) 2층
본죽 부산만덕점,부산광역시 북구 덕천로 243 (만덕동)
본 죽&비빔밥 부산하단점,부산광역시 사하구 낙동대로 460 (당리동)
본죽 부산명장역점,부산광역시 동래구 명장로20번길 32 (명장동) 1층
본죽 부산서동점,부산광역시 금정구 서동로 163 (서동) 1층
본죽 부산학장점,부산광역시 사상구 학감대로123번길 89 삼성2차아파트상가동 101호
본죽 부산카이저수정역점,"부산광역시 북구 금곡대로 166 (화명동, 롯데캐슬카이저) 본상가동 B104호"
본도시락 부산역점,부산광역시 동구 중앙대로 196번길 6-5 부산빌딩1층
본죽 부산광안역점,부산광역시 수영구 광안동 506-31
본죽 해운대좌2동점,"부산광역시 해운대구 좌동순환로 308 (좌동, 송강빌딩)"
본도시락 부산센텀시티점,부산광역시 해운대구 APEC로 17 (우동) 센텀리더스마크 1층 109호
본도시락 부산대점,부산광역시 금정구 금정로 86 (장전동)
본죽 부산배산역점,부산광역시 연제구 연수로 233 1층
본죽 부산당감점,부산광역시 부산진구 동평로 107 (부암동)
본죽 부산가야점,"부산광역시 부산진구 가야대로 613 (가야동, 유림아파트) 유림상가101호"
본죽 부산반여점,부산광역시 해운대구 선수촌로 101 (반여동) 성훈빌딩 1층
본죽 부산문현점,부산광역시 남구 전포대로20번길 26 한화꿈에그린 제피101동 제지하3층
본죽 부산모라점,부산광역시 사상구 백양대로 883 (모라동) 동원@상가 10동 108호
본죽 부산동삼점,부산광역시 영도구 웃서발로 79 (동삼동)
본 죽&비빔밥 정관신도시점,"부산광역시 기장군 정관읍 정관로 560 (정관읍, 마치빌딩) 마치빌딩 1층 103호"
