매장명,매장주소
본도시락 수지성복역점,"경기도 용인시 수지구 성복2로76번길 26-3 (성복동, 드림타워) 205호"
본 죽&비빔밥 역곡북부역점,"경기도 부천시 역곡로 24 (역곡동, 덕산빌딩) 104호"
본 죽&비빔밥 의왕고천점,"경기도 의왕시 전주남이길 8 (오전동, 목화케이티이자리에) 1층"
본 죽&비빔밥 평촌나눔초교점,"경기도 안양시 동안구 흥안대로414번길 34 (평촌동, 천사유치원) 1층"
본도시락 화정점,"경기도 고양시 덕양구 화신로 263 (화정동, 브릿지타워(BRIDGE TOWER)) 2층 206호"
본도시락 광명역점,경기도 광명시 일직로 72 (일직동) 광명무역센터(일직동) C동 117호
본 죽&비빔밥 범계로데오점,경기도 안양시 동안구 평촌대로223번길 48 (호계동) 2층
본 죽&비빔밥 일산킨텍스역점,"경기도 고양시 일산서구 킨텍스로 240 (대화동, 킨텍스 꿈에그린) 145호"
본 죽&비빔밥 수지상현점,"경기도 용인시 수지구 만현로 110 (상현동, 원희캐슬프라자) b동 109호"
본설렁탕 분당야탑점,"경기도 성남시 분당구 장미로 42 (야탑동, 야탑리더스) 제1층 제114호"
본 죽&비빔밥 고양서정마을점,"경기도 고양시 덕양구 중앙로 450 (행신동, 명성프라자) 110호"
본 죽&비빔밥 남양주다산지금점,"경기도 남양주시 다산지금로 127 (다산동, 다산지금지구 근생8-1) 1층 103호"
본 죽&비빔밥 파주운정역점,"경기도 파주시 경의로1240번길 31 (와동동, 현해프라자) 107호"
본 죽&비빔밥 성남중앙시장점,"경기도 성남시 수정구 수정로 131 (태평동, 낙원스카이뷰) 105호 본죽&비빔밥 성남중앙시장점"
본설렁탕 광교중앙점,"경기도 수원시 영통구 센트럴타운로 106 (이의동, 센트럴프라자) 107호"
본도시락 의정부금오점,"경기도 의정부시 장곡로596번길 15 (신곡동, 우정프라자) 107호"
본도시락 의왕역점,경기도 의왕시 신장승길 29 (삼동) 퍼스트힐 1층
본 죽&비빔밥 김포장기초당마을점,"경기도 김포시 김포한강2로 96 (장기동, 계림프라자투) 101호"
본 죽&비빔밥 오산수청점,"경기도 오산시 내삼미로 83 (수청동, 센타프라자) 1층, 101호"
본 죽&비빔밥 부천여월점,"경기도 부천시 여월로 72 (여월동, 여월프라자) 101호"
본도시락 남양주호평점,경기도 남양주시 천마산로16번길 5 (호평동) 1층 101호
본도시락 김포구래점,"경기도 김포시 김포한강8로 332 (구래동, 호반베르디움 더 레이크 3차) 103호"
본 죽&비빔밥 이천하이닉스점,경기도 이천시 부발읍 경충대로 2100 (아미리) 107호
본도시락 일산탄현점,"경기도 고양시 일산서구 탄현로 95 (탄현동, 탄현마을10단지) 1층"
본 죽&비빔밥 분당야탑역점,"경기도 성남시 분당구 성남대로926번길 6 (야탑동, 야탑 대덕프라자) 205호"
본 죽&비빔밥 철산역점,"경기도 광명시 오리로 857 (철산동, 일청빌딩) 205호"
본 죽&비빔밥 평택법원점,"경기도 평택시 평남로 1015 (동삭동, 서재프라자) 103호"
본 죽&비빔밥 부천고강점,경기도 부천시 역곡로 491 (고강동) 1층
본 죽&비빔밥 포천일동점,경기도 포천시 일동면 소야길 17 (기산리) 1층
본 죽&비빔밥 수원파장점,"경기도 수원시 장안구 정자로 155 (정자동, 훼미리치과) 본죽"
본 죽&비빔밥 산본중심점,"경기도 군포시 산본로323번길 26-18 (산본동, 거성빌딩1차) 102호"
본도시락 동두천점,경기도 동두천시 평화로2313번길 7-5 (지행동) 1층
본도시락 삼송점,경기도 고양시 덕양구 삼송로 222 (삼송동) 현대 헤리엇 상가 2층 229호
본도시락 남양주마석점,경기도 남양주시 화도읍 경춘로 1943 (창현리) 미리내빌딩 1층
본도시락 용인수지구청점,"경기도 용인시 수지구 풍덕천로148번길 4 (풍덕천동, 하나마트) 102호"
본도시락 병점점,경기도 화성시 효행로 1016 (진안동) 102호
본 죽&비빔밥 남양주금곡점,"경기도 남양주시 금곡로 72 (금곡동, 센타프라자) 1층"
본도시락 화성향남점,"경기도 화성시 향남읍 행정중앙2로 63-34 (행정리, 명신프라자2) 1층"
