매장명,매장주소
본 죽&비빔밥 대구용산장기점,대구광역시 달서구 용산로 141 그랜드M 타워
본 죽&비빔밥 대구시지점,대구광역시 수성구 달구벌대로 3188 아레나 스포츠센타 1층
본도시락 대구월배점,대구광역시 달서구 상원로 117 (상인동)
본 죽&비빔밥 대구신서혁신지구점,대구광역시 동구 첨단로8길 1 미소빌딩 104호
본죽 대구수성뉴타운쌍용예가점,"대구광역시 수성구 명덕로 477 (범어동, 범어쌍용예가아파트) 쌍용예가 상가 118호"
본 죽&비빔밥 대구성당뉴타운점,대구광역시 달서구 당산로 39 성당 래미안 e-편한세상
본죽 대구이시아폴리스점,대구광역시 동구 팔공로51길 11 (봉무동) 107호
본도시락 대구경북대학교점,대구광역시 북구 대학로17길 5 (산격동)
본죽 대구방촌시장점,대구광역시 동구 동촌로 214-1 (방촌동)
본도시락 대구경대병원역점,"대구광역시 중구 동덕로 109 (삼덕동2가, 아진맨션아파트) 1층"
본죽 대구침산점,대구광역시 북구 호암로 30 (칠성동2가)
본죽 대구진천역점,"대구광역시 달서구 월배로 71 (진천동, 진천트윈팰리스) 진천트윈팰리스 1층 106호"
본죽 대구서재점,대구광역시 달성군 다사읍 서재로 121
본 죽&비빔밥 대구동성로점,대구광역시 중구 동성로 57 (동성로2가)
본 죽&비빔밥 내당삼익뉴타운점,대구광역시 서구 평리로 254 (내당동) 삼능빌딩 B동
본죽 대구중동교점,대구광역시 수성구 청수로 11 (중동)
본죽 대구수성구청점,대구광역시 수성구 달구벌대로 2474 (범어동) 1층
본죽 대구복현동점,대구광역시 북구 동북로 280 (복현동)
본죽 대구산격점,"대구광역시 북구 동북로 163 (산격동, 산격대우아파트) 101동 104호"
본죽 대구동서변점,"대구 북구 호국로 219 (서변동, 대성골든프라자1차) 132호"
본죽 대구방촌점,"대구광역시 동구 화랑로80길 8 (방촌동, 우방강촌마을아파트) 우방강촌마을 147-103"
본죽 대구다사죽곡점,대구광역시 달성군 다사읍 달구벌대로 889 1층 102호
본죽 대구성서강창역점[동산병원],"대구광역시 달서구 호산로 125 (파호동, 삼성명가타운상가) 1층 122호"
본죽 대구대곡점,대구광역시 달서구 한실로 95 (도원동) 1층
본죽 동대구시장점,대구광역시 동구 신암로 72 (신암동)
본죽 대구옥포점,대구광역시 달성군 옥포면 돌미상업로 9. 1층 109호
