매장명,매장주소
본 죽&비빔밥 마산석전양덕점,경상남도 창원시 마산회원구 3·15대로 654 (석전동) 1층
본도시락 진해용원점,경상남도 창원시 진해구 용재로47번길 8 (용원동)
본죽 마산현동점,경상남도 창원시 마산합포구 현동7길 32 (현동) 208호
본죽 양산덕계점,경상남도 양산시 덕계로 56 (덕계동) (덕계동)1층
본도시락 거제고현점,경상남도 거제시 거제중앙로 1911-1 정원빌딩
본죽 진해충무점,경상남도 창원시 진해구 충장로 102-1
본죽 진주평거점,경상남도 진주시 진양호로225번길 8 원정로열팰리스 103동 101호
본죽 마산연세병원점,경상남도 창원시 마산합포구 문화동3길 2 (월남동2가) 1층
본죽 마산중앙점,"경상남도 창원시 마산합포구 3·15대로 240-1 (중앙동3가, 가덕여관) 1층"
본죽 통영항남점,경상남도 통영시 새터길 75-5
본죽 통영점,경상남도 통영시 원문로 11 진우마리나타운101-6
본 죽&비빔밥 김해내외동점,경상남도 김해시 내외중앙로 68 (내동)
본죽 창원반송점,경상남도 창원시 성산구 반송로 148-16 (반림동)
본 죽&비빔밥 양산물금역점,경남 양산시 물금읍 물금1길 14 (물금리) 세현타워102호
본 죽&비빔밥 창원스카이웰빙점,"경상남도 창원시 성산구 동산로 122 (상남동, 스카이웰빙파크) 스카이웰빙파크 119-1호"
본죽 김해서상점,경상남도 김해시 가락로 76-1 (서상동)
본도시락 진주경상국립대점,경상남도 진주시 진주대로920번길 18
본죽 마산회원동점,"경상남도 창원시 마산회원구 북성로 138 (회원동, 천지리치빌) 천지리치빌 104호"
본 죽&비빔밥 진주혁신중앙점,경상남도 진주시 충의로 20-37 (충무공동) 배재2빌딩 108호
본죽 양산통도사점,경상남도 양산시 하북면 통도사로 38 (현문학원) 1층
본도시락 창원중앙점,"경상남도 창원시 성산구 용지로 161 (용호동, 경남빌딩) 101호"
본 죽&비빔밥 창원감계점,경상남도 창원시 의창구 북면 감계로110번길 54-7 (북면) 1층
본도시락 마산경남대점,경상남도 창원시 마산합포구 월영동서로 15 (해운동)
본죽 창원경상대학교병원점,경상남도 창원시 성산구 삼정자로 11 창원경상대학교병원 지하 1층
본죽 마산합성점,경상남도 창원시 마산회원구 합성옛길 136 (합성동)
본죽 양산증산점,경상남도 양산시 물금읍 야리로 45
본죽 진주평거더퀸즈웰가점,경상남도 진주시 새평거로 25 더 퀸즈 웰가 103호 상가2동
본도시락 김해장유대청점,경상남도 김해시 번화1로 82 (대청동) 옥스포드빌딩 110호
본도시락 창원상남점,경상남도 창원시 성산구 원이대로 678 (상남동)
본죽 김해삼방점,경상남도 김해시 삼안로 229 (삼방동)
본죽 거제중곡점,"경상남도 거제시 중곡로 40 (고현동, 덕산베스트타운) 덕산베스트타운 20동 118호"
본 죽&비빔밥 거제고현점,경상남도 거제시 서문로 73 (고현동) 1층 102호
본죽 함안점,경상남도 함안군 가야읍 가야로 51
본죽 마산오동동점,경상남도 창원시 마산합포구 오동동10길 73 서광아침의빛상가 102호
본죽 경남의령점,경상남도 의령군 의령읍 의병로 227
본죽 창녕점,경상남도 창녕군 창녕읍 종로 20
본죽 남해점,경상남도 남해군 남해읍 화전로 54-1
본죽 함양점,경상남도 함양군 함양읍 용평중앙길 7-10 1층
본죽 합천점,경상남도 합천군 합천읍 충효로 73-1 (합천리) 교동 593-3
본죽 경남거창점,경상남도 거창군 거창읍 중앙로 150-1
본죽 창원소답점,경상남도 창원시 의창구 읍성로 64 (소답동) 1층
본죽 창원대방동점,경상남도 창원시 성산구 가양로124번길 13 (대방동) 엑스몰상가 106
본죽 진해용원동점,"경상남도 창원시 진해구 용재로 18 (용원동, 뉴타운BD)"
본죽 진주이현점,경상남도 진주시 서장대로 276-1 (이현동)
본죽 진주칠암점,경상남도 진주시 동진로 21 (칠암동)
본죽 양산점,경상남도 양산시 양산역6길 17 (중부동) 청림타워1층 101호
본죽 김해어방점,경상남도 김해시 인제로 159 (어방동)
본죽 김해구산로타리점,경상남도 김해시 구산로 38 (구산동)
본죽 김해장유삼문점,경남 김해시 능동로155번길 2 (부곡동) 월드피아상가 102호
본죽 김해복음병원점,경상남도 김해시 활천로 38 (삼정동)
본죽 경남거제옥포점,"경상남도 거제시 옥포대첩로 45 (옥포동, 건웅데파트) 건웅데파트 6호"
본죽 창원상남점,"경상남도 창원시 성산구 단정로 9 (상남동, 토토스빌딩) 101호"
