매장명,매장주소
본죽 인천송림동점,인천광역시 동구 송림로 95-1 (송림동) 1층
본죽 공항신도시점,인천광역시 중구 영종대로 84 (운서동) 신공항파크빌1층
본죽 인천작전역점,"인천광역시 계양구 봉오대로 671 (작전동, 우남푸르미아) 우남푸르미아 102호"
본죽 인천만수점,"인천광역시 남동구 장승남로 38 (만수동, 반달프라자) 1층 104호"
본 죽&비빔밥 인천송도포스코점,인천광역시 연수구 해돋이로 116 (송도동) 센트럴프라자 103호
본죽 인천서구청점,인천광역시 서구 탁옥로 57 1층
본죽 인천모래내시장점,인천광역시 남동구 호구포로 786 (구월동) 1층
본죽 인천학산사거리점,인천광역시 남구 매소홀로 355 (학익동) 109
본죽 인천길병원점,인천광역시 남동구 남동대로 784 2층
본도시락 인천연수점,인천광역시 연수구 먼우금로 194 (연수동) 두손메카오피스텔 101호
본도시락 인천주안점,인천광역시 남구 주안1동 141-5
본도시락 인천송도신도시점,"인천광역시 연수구 해돋이로 107 (송도동, 송도 더샵 퍼스트월드) 상가G동 67호, 53호"
본도시락 인천서구청점,"인천광역시 서구 탁옥로 90 (심곡동, 덕산빌딩) 105호"
본죽 인천송도역점,인천광역시 연수구 한나루로 190 (옥련동) 송도프라자 1층
본죽 인천신현점,인천광역시 서구 가정로 364 (가정동) 1층
본죽 인천불로동점,"인천광역시 서구 검단로 842 (불로동, 월드불로마트) 월드아파트 1층 151호"
본죽 인천당하점,인천광역시 서구 청마로 167번길 16 당하프라자 104호
본죽 인천간석사거리점,인천광역시 남동구 호구포로 914 1층
본 죽&비빔밥 인천청라엑슬루타워점,인천광역시 서구 중봉대로586번길 22 엑슬루타워 B동 107호
본 죽&비빔밥 인천신포동점,인천광역시 중구 신포로 18-1 (신생동)
본 죽&비빔밥 인천송도웰카운티점,"인천광역시 연수구 인천타워대로54번길 9 (송도동) 29,21번지"
본 죽&비빔밥 인천검암점,인천광역시 서구 승학로 577 (검암동) 장은프라자 110호
본죽 강화점,인천광역시 강화군 강화읍 강화대로 401
본죽 인천동양점,인천광역시 계양구 양지로 8-1 (동양동)
본죽 인천계산4동점,인천광역시 계양구 용종로 2 (계산동) 계산프라자 103호
본죽 인천계산역점,인천광역시 계양구 경명대로 1096 (계산동) 계산메디칼센타 106호
본죽 인천신연수역점,"인천광역시 연수구 함박뫼로 250 (연수동, 풍림1차아파트) 107호"
본죽 인천동춘점,인천광역시 연수구 앵고개로 260 (동춘동) 맘모스빌딩 104호
본죽 인천청라롯데캐슬점,인천광역시 서구 청라커낼로 252 청라롯데캐슬상가 D동 103호
본죽 인천석남점,인천광역시 서구 가정로 187 (석남동) 1층
본죽 인천가좌점,인천광역시 서구 원적로 77 (가좌동) 1층
본죽 인천청천점,인천광역시 부평구 마장로 456 (청천동) 1층
본죽 인천삼산미래타운점,인천광역시 부평구 부평북로 446 (삼산동) 103호 (부평북로 446
본죽 인천부평산곡점,인천광역시 부평구 안남로 269 대우푸르지오상가 107호
본죽 영종하늘도시점,인천광역시 중구 하늘중앙로195번길 29 (중산동) 진로프라자 1층 109호
본죽 인천송현점,인천광역시 동구 화수로 7 (송현동) 센타빌딩 101호
본죽 인천서창2지구점,인천광역시 남동구 서창남순환로 222 서창센타프라자 107호
본죽 인천서창점,인천광역시 남동구 장아산로 134-4 (서창동) 104호
본죽 인천만수주공점,인천광역시 남동구 만수로 55 (만수동) 1층
본죽 인천길병원암센터점,인천광역시 남동구 구월남로 163 (구월동) 토성프라자 105-1호
본죽 인천간석동점,인천광역시 남동구 남동대로 886 (간석동) 102호
본죽 주안북부역점,인천광역시 남구 염창로 55 (주안동) 1층
본죽 인천용현점,인천광역시 남구 매소홀로 63 (용현동) 대신프라자 1층102호
본죽 송도센트럴파크점,인천광역시 연수구 센트럴로 232 더샵센트럴파크1상가 D동 109호
본죽 인천만수역점,인천광역시 남동구 구월로 352 (만수동) 1층
