,매장명,매장주소,lat,lng
51,본 죽&비빔밥 구로디지털역점,서울특별시 구로구 시흥대로 557 (구로동) 1층,37.4829989,126.9010632
52,본 죽&비빔밥 구의점,"서울특별시 광진구 자양로 113 (자양동, 구의 현대 하이엘) 102호",37.5378939,127.0829911
53,본 죽&비빔밥 외대점,서울특별시 동대문구 이문로 100 (이문동) 1층,37.5957043,127.0599731
54,본 죽&비빔밥 서초내곡점,"서울특별시 서초구 청계산로9길 70 (내곡동, 내곡 SH 플라자) 102호",37.4534624,127.0597967
55,본설렁탕 문정역점,"서울특별시 송파구 법원로 114 (문정동, 엠스테이트) B163호",37.4857987,127.1206993
56,본 죽&비빔밥 등촌공항대로점,서울특별시 강서구 공항대로61길 14 (염창동) 1층,37.5516192,126.8656056
57,본설렁탕 성수역점,"서울특별시 성동구 아차산로 126 (성수동2가, 더리브 세종타워) 107호",37.5434989,127.058054
58,본 죽&비빔밥 고대구로병원점,서울특별시 구로구 구로동로29길 3 (구로동) 1층,37.4910354,126.8836519
59,본도시락 성수점,"서울 성동구 성수일로10길 26 (성수동2가, 하우스디 세종타워) 상가동 109호",37.5465698,127.0529437
60,본 죽&비빔밥 상도점,서울특별시 동작구 양녕로26길 6 (상도동) 1층,37.498081,126.9440038
61,본 죽&비빔밥 목동사거리점,"서울 양천구 등촌로 32 (목동, 목동 태영프라자) 104호",37.5328886,126.8641657
62,본 죽&비빔밥 신촌점,서울 서대문구 연세로 20 (창천동) 2층,37.5574794,126.9370688
63,본 죽&비빔밥 서울금호점,서울 성동구 독서당로 311 (금호동3가) 1층,37.5483137,127.0234893
64,본도시락 수유점,서울 강북구 한천로 1023 (번동) 1층,37.6390395,127.0278786
65,본도시락 한남점,"서울 용산구 독서당로 22 (한남동, 동원베네스트) 107호",37.5301631,127.0078018
66,본 죽&비빔밥 구로항동점,"서울 구로구 서해안로 2104 (항동, 엠프라자) 108호",37.4803525,126.8236668
67,본 죽&비빔밥 마포롯데캐슬점,"서울 마포구 마포대로 109 (공덕동, 롯데캐슬프레지던트) 롯데캐슬프레지던트상가 지하1층 13-1호",37.5450054,126.9512549
68,본도시락 삼성점,"서울특별시 강남구 테헤란로77길 13 (삼성동, 창조빌딩) 1층",37.5073178,127.0543052
69,본 죽&비빔밥 돈암동점,서울특별시 성북구 아리랑로 6-1 (동선동4가),37.5934255,127.0165012
70,본설렁탕 영등포양평역점,"서울특별시 영등포구 양산로 53 (양평동3가, 월드메르디앙비즈센터) 105호",37.5256528,126.8889554
71,본 죽&비빔밥 옥수점,"서울 성동구 한림말3길 15 (옥수동, 국민약국) 1층",37.542448,127.0156923
72,본죽 신당동점,서울 중구 다산로36길 30 (신당동) 1층,37.5621243,127.0166596
73,본도시락 고려대점,서울 성북구 안암로 63 (안암동5가) 1층,37.5822931,127.0286111
74,본 죽&비빔밥 여의도역점,"서울 영등포구 여의나루로 42 (여의도동, 여의도종합상가) 203,204호",37.5214704,126.9249738
75,본죽 동묘앞역점,서울 종로구 지봉로 52-1 (숭인동) 1층,37.5747174,127.0158837
76,본도시락 홍은점,"서울 서대문구 홍은중앙로3길 9 (홍은동, 북한산 두산위브) 1층",37.598222,126.9452041
77,본 죽&비빔밥 은평신사점,서울 은평구 은평로 23 (신사동) 1층,37.5981745,126.9103988
78,본 죽&비빔밥 태릉입구역점,"서울특별시 노원구 동일로 992 (공릉동, 대화빌딩) 1층",37.6188116,127.0756183
79,본설렁탕 은평뉴타운점,"서울 은평구 진관2로 29-21 (진관동, 드림스퀘어) 102호",37.6357288,126.9193479
80,본 죽&비빔밥 여의홍우점,"서울 영등포구 국제금융로 78 (여의도동, 홍우빌딩) 214,215호",37.5208744,126.9313093
81,본도시락 선릉점,"서울특별시 강남구 선릉로82길 5 (대치동, 캥거루 빌딩)",37.5025747,127.0505248
